,
01_prenom,02_genre
augusts,m
augustus,m
aukusti,m
aulay,m
aulus,m
aune,f
aura,f
aurangzeb,m
Aurel,m
Aurèle,m
Aurelia,f
aureliano,m
Aurelie,f
Aurélie,f
Aurelien,m
Aurélien,m
aurelio,m
aurelius,m
aureole,f
Auriane,f
aurora,f
Aurore,f
ausra,f
austen,m
austin,m
austyn,"m,f"
autumn,"m,f"
Auxence,m
Ava,f
ava (1),f
ava (2),f
avalon,f
avdotya,f
avedis,m
avelina,f
aveline,f
averill,"m,f"
avery,"m,f"
Avi,m
avia,f
avice,f
avidan,m
Aviel,m
avila,f
aviram,m
avis,f
avishai,m
Avital,f
avitus,m
aviv,m
aviva,f
avner,m
avra,f
avraham,m
avram,m
Avril,f
avrum,m
Awa,f
awotwi,"m,f"
awstin,m
Axel,m
Axelle,f
Aya,f
Ayaan,m
Ayah,f
ayala,f
Aydan,m
Ayden,m
aydin,m
ayelet,f
Ayem,f
ayesha,f
aygül,f
ayishah,f
Ayla,f
ayla (1),f
ayla (2),f
ayla (3),f
Aylan,m
Aylin,f
Ayline,f
aylmer,m
Ayman,m
Aymane,m
Aymen,m
Aymeric,m
ayn,f
ayo,f
ayomide,f
Ayoub,m
aysel,f
aysun,f
azalea,f
azarel,m
azaria,m
azariah,m
azarias,m
azeneth,f
Aziz,m
azrael,m
azubah,f
azucena,f
azuolas,m
azura,f
azure,f
baako,"m,f"
baal,m
babajide,m
babak,m
babar,m
babatunde,m
baber,m
babette,f
babirye,f
babs,f
babur,m
bacchus,m
Badis,m
badr,"m,f"
Bafode,m
baha,m
Bahia,f
bahiga,f
bahij,m
bahija,f
bahiyya,f
bahman,m
bahram,m
bai,m
baila,f
bailee,f
bailey,"m,f"
báirbre,f
Bakary,m
bakr,m
bala,"m,f"
balázs,m
baldassare,m
balder,m
baldev,m
baldo,m
baldomero,m
baldric,m
baldur,m
baldwin,m
balfour,m
bálint,m
baltasar,m
baltazar,m
balthasar,m
Balthazar,m
bambi,f
bandi,m
banu,f
bao (1),"m,f"
bao (2),m
baptist,m
Baptiste,m
baqir,m
barabal,f
barak,m
barakat,m
barb,f
Barbara,f
bárbara,f
barbie,f
barbora,f
barbra,f
barbro,f
barclay,m
baris,m
barlaam,m
barna,m
barnabas,m
barnabás,m
Barnabe,m
barnabé,m
barnaby,m
barney,m
barra,m
barret,m
barrett,m
barrie,m
barry,m
bart,m
bartal,m
bartel,m
Barthelemy,m
barthélémy,m
bartholomaus,m
bartholomew,m
bartlomiej,m
bartolomé,m
bartolomeo,m
bartosz,m
baruch,m
bas,m
basajaun,m
basant,m
basemath,f
bashe,f
bashemath,f
basia (1),f
basia (2),f
Basil,m
Basile,m
basilio,m
basim,m
Basma,f
basmath,f
bassam,m
bassem,m
bastiaan,m
Bastian,m
Bastien,m
basu,m
basya,f
bathsheba,f
battista,m
batya,f
batyah,f
Baudouin,m
bautista,m
Baya,f
baylee,f
bea,f
bearach,m
beata,f
beáta,f
beate,f
beathag,f
beathan,m
Beatrice,f
Béatrice,f
beatriu,f
beatrix,f
beatriz,f
beau,m
beaumont,m
beauregard,m
beavis,m
bébhinn,f
bébhionn,f
bébinn,f
becca,f
becka,f
beckah,f
becky,f
bede,m
bedelia,f
bedivere,m
bedrich,m
bedros,m
bedwyr,m
bee,f
beelzebub,m
behnam,m
behram,m
behruz,m
béibhinn,f
beileag,f
beitris,f
bekki,f
béla,m
belenus,m
belgin,f
beli,m
belinda,f
Bella,f
belle,f
bellona,f
belphoebe,f
Ben,m
benaiah,m
bence,m
bendiks,m
bendt,m
benedek,m
benedetta,f
benedetto,m
benedict,m
benedicta,f
Benedicte,f
Bénédicte,f
benedikt,m
benedikta,f
benedikte,f
benedita,f
benedito,m
benesh,m
bengt,m
bengta,f
beniamino,m
benigna,f
benigno,m
benita,f
benito,m
Benjamin,m
benjamín,m
benjamine,f
benjy,m
bennett,m
bennie,m
benno,m
benny,m
Benoit,m
Benoît,m
benoite,f
benson,m
bent,m
bente,f
bentley,m
bento,m
benton,m
benvenuto,m
beowulf,m
beppe,m
ber,m
berach,m
Bérangère,f
Berenice,f
Bérénice,f
bergliot,f
bergljot,f
berit,f
berjouhi,f
berk,m
berkant,m
berker,m
berlin,f
berna,f
bernadett,f
Bernadette,f
bernadine,f
Bernard,m
bernardetta,f
bernardine,f
bernardino,m
bernardo,m
bernat,m
bernát,m
bernd,m
bernetta,f
bernhard,m
bernice,f
bernie,m
berniece,f
bernt,m
berry (1),m
berry (2),f
bert,m
berta,f
bertalan,m
bertha,f
berthe,f
berthold,m
bertie,"m,f"
Bertille,f
bertina,f
bertók,m
bertoldo,m
bertram,m
Bertrand,m
bertrando,m
berwyn,m
Beryl,f
Béryl,f
bess,f
bessie,f
beth,f
bethan,f
bethania,f
bethany,f
bethel,f
bethney,f
bethuel,m
betrys,f
betsy,f
bette,f
bettie,f
Bettina,f
bettina (1),f
bettina (2),f
bettino,m
Betty,f
bettye,f
beulah,f
bevan,m
beverley,f
beverly,f
bevin,f
bevis,m
Beya,f
beylke,f
bhaltair,m
bharat,m
bhaskar,m
bhàtair,m
biaggio,m
biagino,m
biagio,m
Bianca,f
bibiana,f
bice,f
bich,f
biddy,f
bidelia,f
bienvenida,f
bijay,m
bijoy,m
Bilal,m
bile,m
Bilel,m
bilge,f
bilhah,f
bill,m
Billie,f
billy,m
bindy,f
bine,f
binh,m
Binta,f
Bintou,f
binyamin,m
birger,m
birgit,f
birgitta,f
bithiah,f
bjarne,m
bjoern,m
björn,m
bjorne,m
blaanid,f
blaine,m
blair,"m,f"
Blaise,m
bláithín,f
blake,m
blanca,f
blanch,f
Blanche,f
Blandine,f
blanid,f
bláthnaid,f
bláthnat,f
blaze,m
blazej,m
blejan,f
Blessing,f
blodeuwedd,f
blodeuyn,f
blodwen,f
blondie,f
blossom,f
bluma,f
blythe,m
bo (1),m
bo (2),m
boadicea,f
boaz,m
bob,m
bobbi,"f,m"
bobbie,"f,m"
bobby,"m,f"
bodil,f
Bogdan,m
bogdana,f
boghos,m
bogumil,m
boguslaw,m
bohdan,m
bohumir,m
bohuslav,m
bohuslava,f
boipelo,"m,f"
boitumelo,f
bojan,m
bojana,f
bolanle,f
boldizsár,m
bolek,m
boleslav,m
boleslava,f
boleslaw,m
boleslawa,f
bolivar,m
bonaventure,m
boniface,m
bonifacio,m
bonifaz,m
bonita,f
Bonnie,f
booker,m
bopha,f
bora,m
borbála,f
borghild,f
Boris,m
borislav,m
börje,m
borya,m
bosede,m
bosmat,f
botros,m
botum,f
Boubacar,m
Boubou,m
Bouchra,f
boudicca,f
boulos,m
boutros,m
boyce,m
boyd,m
bozidar,m
bözsi,f
bozydar,m
brack,m
brad,m
braden,m
bradford,m
Bradley,m
brady,"m,f"
braeden,m
braelyn,f
Brahim,m
brahma,m
braiden,m
braidy,"m,f"
braith,"f,m"
bram,m
bran (1),m
bran (2),m
brand,m
branda,f
brande,f
branden,m
brandi,f
brandie,f
Brandon,m
brandt,m
brandy,f
branimir,m
branislav,m
branislava,f
branka,f
branko,m
brannon,m
brant,m
branwen,f
bras,m
bratumil,m
brava,f
braxton,m
Brayan,m
brayden,m
breana,f
breandán,m
breann,f
breanna,f
breanne,f
breda,f
breindel,f
brenda,f
brendan,m
brenden,m
brendon,m
brenna,f
brennan,m
brennus,m
brent,m
bret,m
brett,m
Briac,m
briallen,f
Brian,m
briana,f
brianna,f
brianne,f
briar,"m,f"
Brice,m
bríd,f
bride,f
bridger,m
bridget,f
bridgette,f
bridie,f
brielle,f
Brieuc,m
brigham,m
brighid,f
brigid,f
brigida,f
brigit,f
brigitta,f
brigitte,f
brin,m
briony,f
briscoe,m
bristol,m
britney,f
britt,f
britta,f
brittani,f
brittany,f
brittney,f
britton,m
brock,m
brodie,m
brody,m
brogan,"m,f"
bron,f
brónach,f
