profile_image,experience,price,categories,supermalter,missions,profil,link,creation_date,Region_Name
https://dam.malt.com/xy1z73ppsrhzgflhfvzq?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,150 €,['Product Manager'],0,,marionnicolas,https://www.malt.fr/profile/marionnicolas,2013-08-27,provence-alpes-côte d'azur
https://dam.malt.com/bxiv0kanz38mhlkrq6dr?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,600 €,"['Graphiste', 'Illustrateur', 'UX Designer', 'Webdesigner']",0,1.0,leorobin,https://www.malt.fr/profile/leorobin,2013-12-04,île-de-france
No profile image,-,150 €,['Développeur Web Front-end'],0,,tscreativebelin,https://www.malt.fr/profile/tscreativebelin,2014-02-03,île-de-france
https://dam.malt.com/ix5bvorha6shygep1jrw?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,480 €,['Traffic Manager'],0,,marievareille,https://www.malt.fr/profile/marievareille,2014-03-11,nouvelle-aquitaine
No profile image,-,990 €,['Traffic Manager'],0,,ericdelcroix,https://www.malt.fr/profile/ericdelcroix,2014-02-06,hauts-de-france
No profile image,-,300 €,['Graphiste'],0,,laurencebroyde,https://www.malt.fr/profile/laurencebroyde,2013-09-23,occitanie
https://dam.malt.com/xhfzqaszhcfvrxnfdcrt?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,600 €,[],0,7.0,ronydray,https://www.malt.fr/profile/ronydray,2013-06-19,auvergne-rhône-alpes
https://dam.malt.com/v00i12iivtujzkvkqxjf?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,700 €,"['Directeur artistique', 'UI Designer', 'UX Designer', 'Webdesigner']",0,3.0,noeldupont,https://www.malt.fr/profile/noeldupont,2013-05-17,île-de-france
No profile image,-,200 €,['Développeur Web Back-end'],0,,flavienguillon,https://www.malt.fr/profile/flavienguillon,2013-11-18,île-de-france
No profile image,-,125 €,[],0,,davidchardonnet,https://www.malt.fr/profile/davidchardonnet,2014-01-24,île-de-france
https://dam.malt.com/jdlqdc8yg7cygln424on?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,200 €,['Pigiste'],0,,jackparker,https://www.malt.fr/profile/jackparker,2013-04-15,île-de-france
https://dam.malt.com/fayzmpwjte9xsvrwnkkn?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,300 €,['Graphiste'],0,,kamelgondry,https://www.malt.fr/profile/kamelgondry,2013-01-25,île-de-france
https://dam.malt.com/qhcw003egn903rb8xpyu?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,600 €,['Développeur Web Back-end'],0,,thomasrecloux,https://www.malt.fr/profile/thomasrecloux,2013-02-24,hauts-de-france
https://dam.malt.com/sif3pvmvt8isbqgp88sk?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,1 200 €,"['Pigiste', 'Photographe']",0,,pierremorel,https://www.malt.fr/profile/pierremorel,2013-08-26,île-de-france
https://dam.malt.com/i1u4jh676bh4ubr7rndm?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,500 €,['Product Manager'],0,,benjamintierny,https://www.malt.fr/profile/benjamintierny,2013-06-28,hauts-de-france
https://dam.malt.com/hkeleqc85thee5di9jpb?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,600 €,['Traffic Manager'],0,,elodieemsallemberguig,https://www.malt.fr/profile/elodieemsallemberguig,2014-02-11,île-de-france
No profile image,-,300 €,['Webdesigner'],0,,yannbrn,https://www.malt.fr/profile/yannbrn,2013-03-06,occitanie
https://dam.malt.com/hicdtnvjkvcovqumykr7?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,315 €,['Traffic Manager'],0,,dimitriageon,https://www.malt.fr/profile/dimitriageon,2014-01-07,centre-val de loire
https://dam.malt.com/j0dlgr9ntbaf5xpzmzs2?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,800 €,['Développeur Web Back-end'],0,,mohandbencherif,https://www.malt.fr/profile/mohandbencherif,2013-03-09,île-de-france
